Date,200,206,301,302,304,400,401,403,404,405,408,419,422,499,500,504
2026_04_19,281825,20988,490,458,9450,0,0,2,213,0,0,128,1,840,84,0
2026_04_20,303863,24177,891,986,14130,1,0,2,272,1,0,65,2,835,77,0
2026_04_21,329060,48556,625,1396,20763,1,0,14,302,1,0,36,5,981,65,0
2026_04_22,297188,32975,562,1363,15245,0,0,3,243,0,0,3,4,1031,65,0
2026_04_23,303261,25054,631,1086,14014,0,0,1,244,0,0,2,7,1045,41,0
2026_04_24,269399,29602,451,1031,14725,0,0,0,256,5,0,9,2,738,45,0
2026_04_25,277172,47538,1158,469,17649,0,0,7,625,1,0,1,1,622,766,0
2026_04_26,285961,32615,1500,517,13084,0,0,3,743,0,0,4,4,741,1044,0
2026_04_27,311724,27065,575,939,15021,1,0,2,1030,0,0,64,3,1035,39,0
2026_04_28,288693,59572,412,1130,23042,0,0,3,693,0,0,1,4,1125,22,2
2026_04_29,300935,51485,440,564,17779,1,0,10,687,0,0,42,3,674,32,0
2026_04_30,293355,31176,284,1096,13760,0,0,7,707,0,0,5,7,901,26,0
2026_05_01,319320,24909,859,1015,11925,0,0,3,1113,0,1,67,27,775,545,0
2026_05_02,293417,32701,1452,1470,12074,0,0,17,1023,0,0,6,2,595,1190,0
2026_05_03,155796,21877,223,429,8986,0,0,19,299,0,0,4,2,573,25,0
2026_05_04,138769,11292,838,480,6010,0,0,3,339,0,0,25,3,669,661,0
