Date,Total Requests,Requests (Excl. 74.7.*)
2026_04_19,314479,181152
2026_04_20,345302,206858
2026_04_21,401805,271421
2026_04_22,348682,212175
2026_04_23,345386,207414
2026_04_24,316263,205368
2026_04_25,346009,224401
2026_04_26,336216,218950
2026_04_27,357498,230633
2026_04_28,374701,263375
2026_04_29,372652,230638
2026_04_30,341324,206353
2026_05_01,360559,221001
2026_05_02,343947,201734
2026_05_03,188233,164069
2026_05_04,159089,154630
